ShipMode,Segment,Country,City,StateName,PostalCode,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,907.15,6,0.20,90.72
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Tables,1706.18,9,0.20,85.31
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Technology,Phones,911.42,4,0.20,68.36
"Standard Class",Consumer,"United States",Seattle,Washington,98103,West,"Office Supplies",Binders,407.98,3,0.20,132.59
"First Class",Corporate,"United States",Richardson,Texas,75080,Central,Technology,Phones,1097.54,7,0.20,123.47
"First Class",Consumer,"United States",Troy,"New York",12180,East,"Office Supplies",Storage,208.56,6,0.00,52.14
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,146.73,3,0.00,68.96
"Standard Class",Corporate,"United States",Gilbert,Arizona,85234,West,"Office Supplies",Art,1113.02,8,0.20,111.30
"Standard Class",Corporate,"United States",Gilbert,Arizona,85234,West,Technology,Phones,167.97,4,0.20,62.99
"First Class",Corporate,"United States",Decatur,Alabama,35601,South,"Office Supplies",Appliances,208.16,1,0.00,56.20
"Standard Class",Corporate,"United States",Durham,"North Carolina",27707,South,"Office Supplies",Envelopes,200.98,7,0.20,62.81
"Standard Class","Home Office","United States","Orland Park",Illinois,60462,Central,Technology,Accessories,339.96,5,0.20,67.99
"Standard Class",Consumer,"United States",Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.00,165.38
"First Class",Consumer,"United States",Wilmington,Delaware,19805,East,"Office Supplies",Storage,226.56,6,0.00,63.44
"First Class",Consumer,"United States",Wilmington,Delaware,19805,East,"Office Supplies",Envelopes,115.02,9,0.00,51.76
"Standard Class",Corporate,"United States","San Francisco",California,94122,West,"Office Supplies",Paper,143.70,3,0.00,68.98
"Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.00,103.80
"Standard Class",Corporate,"United States",Franklin,Wisconsin,53132,Central,"Office Supplies",Binders,171.55,5,0.00,80.63
"Second Class",Consumer,"United States",Seattle,Washington,98115,West,Furniture,Chairs,457.57,2,0.20,51.48
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,"Office Supplies",Paper,110.96,2,0.00,53.26
"Second Class",Corporate,"United States",Decatur,Illinois,62521,Central,Technology,Accessories,408.74,7,0.20,76.64
"Second Class","Home Office","United States",Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,0.00,131.03
"First Class","Home Office","United States","New York City","New York",10035,East,Furniture,Bookcases,899.14,4,0.20,112.39
"Standard Class",Corporate,"United States",Detroit,Michigan,48227,Central,Furniture,Tables,622.45,5,0.00,136.94
"First Class",Consumer,"United States","New York City","New York",10024,East,"Office Supplies",Envelopes,361.92,4,0.00,162.86
"Standard Class",Corporate,"United States",Chicago,Illinois,60623,Central,Technology,Phones,647.90,6,0.20,56.69
"First Class",Consumer,"United States","San Francisco",California,94109,West,Technology,Accessories,209.93,7,0.00,92.37
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Tables,1038.84,5,0.20,51.94
