ShipMode,Segment,Country,City,StateName,PostalCode,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
"Second Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.00,41.91
"Second Class",Consumer,"United States",Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.00,219.58
"Standard Class",Consumer,"United States","Fort Lauderdale",Florida,33311,South,Furniture,Tables,957.58,5,0.45,-383.03
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Furnishings,48.86,7,0.00,14.17
"Standard Class",Consumer,"United States","Los Angeles",California,90032,West,Furniture,Tables,1706.18,9,0.20,85.31
"Second Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.37,2,0.30,-1.02
"Standard Class",Consumer,"United States",Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.00,240.26
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.50,-1665.05
"Standard Class",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.20,3,0.20,15.53
"First Class",Corporate,"United States",Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.60,-147.96
"Standard Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Bookcases,532.40,3,0.32,-46.98
"Standard Class","Home Office","United States",Houston,Texas,77041,Central,Furniture,Chairs,212.06,3,0.30,-15.15
"Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.00,2.96
"Standard Class",Consumer,"United States","New Albany",Indiana,47150,Central,Furniture,Chairs,89.99,1,0.00,17.10
"First Class",Consumer,"United States",Troy,"New York",12180,East,Furniture,Chairs,319.41,5,0.10,7.10
"Standard Class",Consumer,"United States","Los Angeles",California,90004,West,Furniture,Furnishings,79.76,4,0.00,22.33
"Standard Class","Home Office","United States",Chicago,Illinois,60610,Central,Furniture,Chairs,213.12,5,0.30,-15.22
"Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Chairs,831.94,8,0.20,-114.39
"Standard Class",Consumer,"United States",Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.20,1.21
"First Class",Corporate,"United States",Houston,Texas,77041,Central,Furniture,Furnishings,9.71,3,0.60,-5.82
"Second Class",Consumer,"United States",Houston,Texas,77070,Central,Furniture,Furnishings,19.30,5,0.60,-14.48
